visitorid,recency,frequency,monetary
22990,110,3,11
22998,30,1,1
23076,15,2,2
23497,124,1,1
23645,35,1,1
23730,96,1,1
23964,134,1,1
24067,66,1,2
24142,88,1,1
24166,87,1,1
24409,47,1,2
24644,35,1,1
24662,112,1,1
24688,18,1,1
24722,34,1,3
24840,9,1,1
25040,136,1,1
25081,39,1,1
25094,25,1,1
25156,13,1,2
25481,104,1,1
25809,5,1,1
25896,9,1,2
25922,127,1,2
26032,38,1,1
26189,25,1,1
26533,115,1,3
26626,20,1,1
26761,76,1,1
26872,97,1,1
26923,94,1,1
27197,67,1,1
27326,57,1,1
27360,32,1,1
27695,42,2,3
27851,29,1,4
28085,51,1,1
28161,114,1,1
28308,78,1,1
28387,14,1,1
28524,93,1,1
28791,2,1,1
28797,52,1,1
28896,45,1,1
29529,17,1,1
29531,113,1,1
29659,120,1,1
29744,4,1,2
29757,26,1,1
29802,2,3,3
29835,50,1,1
30374,51,2,2
30438,4,1,1
30633,72,1,1
30687,3,1,1
30812,84,1,1
30824,116,1,1
31149,85,1,1
31236,110,1,1
31314,85,1,1
31359,30,1,1
31557,78,1,1
31613,110,1,1
31645,45,1,3
31677,22,1,1
31741,58,1,2
31798,32,2,2
31843,125,1,1
31874,29,1,1
31929,68,1,1
31936,1,1,1
32119,120,1,1
32160,105,2,2
32358,21,1,1
32378,115,1,2
32432,77,1,1
32596,49,1,1
32787,99,1,2
32895,22,2,2
32904,81,1,1
33196,106,1,3
33308,95,1,1
33350,34,1,1
33571,106,1,1
33608,20,1,1
33717,58,1,1
33889,28,1,1
33895,52,1,1
33946,70,1,2
34059,15,1,1
34157,18,1,1
34200,24,1,1
34381,26,1,1
34519,35,1,2
34570,44,1,1
34598,103,2,2
34630,36,1,1
34648,109,1,1
34665,3,2,2
34667,81,1,1
34705,43,1,1
34825,55,1,1
34850,17,1,1
34923,51,1,1
34951,137,2,4
34955,37,1,1
35112,102,1,1
35157,31,1,1
35186,31,1,1
35339,102,1,1
35623,45,1,4
36007,127,1,1
36250,70,1,1
36310,88,1,1
36450,136,1,1
36502,85,1,3
36640,26,1,1
36682,51,1,1
36707,61,1,1
36866,7,1,2
36989,119,1,1
37093,26,1,1
37183,58,1,1
37191,4,1,1
37288,81,1,1
37382,107,1,1
37574,33,1,1
37845,25,1,1
37972,44,1,1
38015,73,2,2
38102,16,1,1
38103,30,1,7
38245,114,1,1
38711,59,1,2
38878,89,1,1
39203,2,1,1
39272,57,1,1
39467,46,1,1
39480,84,1,4
39706,37,1,1
39985,19,1,1
40024,38,1,1
40050,115,1,1
40175,107,1,1
40251,92,1,1
40353,56,1,1
40618,124,1,1
40802,81,1,1
40879,106,1,1
41016,122,1,1
41098,85,1,1
41278,119,1,1
41386,136,1,1
41416,7,1,1
41529,133,1,1
41903,87,1,1
42011,31,1,1
42040,106,1,1
42059,124,1,1
42168,4,1,1
42192,136,1,1
42261,44,1,1
42326,67,1,1
42435,100,1,1
42552,11,2,13
42669,49,1,1
42857,53,1,1
42942,94,1,1
43176,4,1,2
43354,88,1,1
43393,122,1,1
43605,88,1,1
43643,32,1,1
43687,28,1,1
43770,128,1,1
43775,95,1,1
43804,87,1,1
44326,52,1,1
44566,51,1,1
44880,37,2,2
44885,112,1,1
45018,84,1,2
45113,52,1,1
45183,58,1,1
45270,11,1,1
45512,104,1,1
45825,73,1,2
45870,81,1,2
45969,17,1,1
46167,125,2,2
46535,94,4,4
46568,61,1,1
46748,13,1,1
46805,115,1,1
46841,36,1,1
47004,86,1,1
47029,137,1,2
47153,8,1,1
47197,8,1,1
47433,4,1,1
47467,72,1,1
47582,50,1,1
47803,3,2,2
48168,34,1,1
48245,46,1,1
48703,82,1,1
48728,70,1,3
48768,125,1,1
48820,15,4,34
48896,129,1,1
49120,109,1,1
49158,85,1,1
49266,4,1,1
49275,124,1,1
49347,73,1,1
49384,3,1,1
50340,38,1,1
50467,95,1,1
50555,82,1,1
50687,8,1,1
50847,110,1,1
50921,7,2,2
51304,35,1,1
51591,32,1,1
51595,129,1,2
51613,76,1,1
51670,58,1,1
51676,135,1,1
51831,134,1,2
51951,70,1,1
52108,106,1,1
52183,50,1,1
52305,32,1,1
52363,23,1,1
52406,27,1,1
52452,94,1,1
52484,73,1,1
52493,19,1,1
52674,91,1,1
52701,24,1,1
52860,92,1,1
52940,85,1,1
52967,20,1,1
53051,66,1,3
53164,10,1,2
53181,106,1,1
53691,53,1,1
53842,121,56,64
53925,79,1,1
53982,46,1,2
54002,111,1,1
54007,126,1,1
54011,116,1,1
54017,72,1,1
54032,120,1,1
54121,70,1,1
54210,11,1,1
54493,75,2,2
54524,64,1,3
54535,137,1,4
54639,56,1,1
54672,135,1,1
54845,26,1,1
54958,66,1,1
54960,54,1,1
55018,101,1,1
55023,99,1,1
55135,109,1,1
55270,108,1,1
55389,122,7,7
55599,37,1,1
55609,89,1,1
55697,91,1,1
55838,124,1,4
55843,122,1,1
55897,1,1,1
56096,17,1,1
56203,52,1,1
56312,91,1,1
56332,112,1,1
56541,70,1,1
56645,39,1,1
56745,93,1,1
56775,86,2,2
56971,3,1,1
57006,105,1,1
57088,54,1,1
57111,85,1,1
57246,134,1,1
57499,59,1,1
57559,37,1,1
57739,83,1,1
57905,107,34,44
57925,51,1,1
57929,36,1,1
58013,27,1,1
58024,92,2,2
58074,91,1,1
58597,27,1,2
58730,21,1,1
58740,8,1,1
58970,51,1,1
59209,39,1,1
59291,17,1,2
59399,124,1,1
59604,37,1,1
59776,55,1,1
59784,51,1,1
59803,114,1,1
59832,128,1,1
60025,31,1,1
60099,127,1,1
60497,72,1,1
60568,95,1,1
60711,11,1,3
60790,52,1,1
61323,56,1,1
61334,71,1,1
61635,73,1,1
61720,58,1,1
61806,109,1,1
62004,1,1,1
62058,104,1,1
62139,120,1,2
62155,131,1,1
62330,126,1,1
62368,11,1,1
62377,28,1,1
62434,2,1,1
62489,100,1,1
62602,46,1,1
62656,60,1,1
62679,91,1,1
62694,23,1,1
62701,51,1,1
62762,131,1,1
62893,59,1,1
62990,79,1,1
63140,43,1,1
63156,79,1,1
63181,128,1,1
63208,102,1,1
63274,72,1,3
63351,64,1,1
63475,83,1,1
63786,15,2,2
64099,128,1,1
64444,81,1,1
64575,27,1,1
64763,86,1,2
64931,1,1,5
65124,87,1,1
65149,113,1,1
65210,113,1,1
65249,107,1,1
65471,24,1,1
65737,43,1,1
65740,69,1,2
65927,77,1,1
66052,85,1,1
66139,25,1,1
66238,53,1,1
66313,112,1,1
66317,51,1,1
67015,66,1,2
67264,23,1,1
67301,44,1,1
67370,64,1,1
67712,45,2,2
67744,19,1,2
67803,138,1,1
68085,127,2,2
68087,12,1,1
68318,10,1,2
68418,5,1,1
68449,89,1,1
68557,8,1,2
68601,35,1,1
68646,19,1,1
68748,6,1,1
68759,66,1,1
68804,138,1,1
69044,25,1,2
69072,75,1,1
69301,95,1,2
69442,45,2,2
69543,133,1,2
69645,67,2,2
69804,108,1,1
69880,118,1,1
69982,9,1,1
70570,73,1,1
70678,137,1,1
70888,35,1,1
70999,52,1,2
71167,4,1,1
71192,78,1,1
71272,89,1,2
71586,11,1,1
71689,34,1,1
71746,3,1,1
71753,51,1,1
71927,137,1,1
72155,100,1,1
72194,31,1,1
72232,103,1,1
72254,24,1,2
72302,95,1,2
72373,28,1,1
72569,53,1,1
72783,35,1,1
72828,68,1,1
72944,65,1,1
73029,80,1,1
73292,2,2,2
73306,34,2,6
73341,45,1,1
73356,69,1,1
73483,4,1,1
73501,65,1,1
73567,76,2,2
73635,58,1,1
73645,93,1,1
73679,115,1,1
73819,45,1,1
73856,103,1,3
73867,6,1,1
73963,57,1,1
74080,105,1,1
74260,1,1,1
74280,58,1,1
74404,79,1,1
74483,105,1,1
74699,14,1,1
74832,59,1,1
74920,31,1,2
75424,10,1,10
75595,10,1,1
75630,4,3,3
75653,122,1,1
75826,47,1,1
76124,11,1,1
76301,52,2,2
76347,87,1,1
76475,53,1,1
76565,111,1,1
76757,87,155,185
76913,64,1,1
77032,3,2,2
77215,2,1,2
77253,42,1,1
77261,4,1,1
77268,18,1,1
77524,2,1,2
77659,105,2,2
77669,64,1,1
77868,35,1,1
78006,3,1,1
78067,12,1,1
78383,87,1,1
78476,51,1,1
78755,31,1,1
78878,137,1,1
78882,72,1,1
79201,137,1,1
79279,87,1,1
79312,31,1,1
79452,95,2,2
79566,100,2,2
79681,114,1,1
79721,52,3,3
79743,74,1,3
80034,8,1,1
80204,25,1,5
80244,25,1,1
80267,4,1,1
80364,29,1,1
80434,121,1,1
80580,64,1,1
80604,129,1,1
80635,34,1,1
80964,22,1,1
81526,51,1,1
81638,59,1,2
81688,109,1,1
81742,17,1,1
81811,77,1,2
82009,27,1,1
82051,6,1,1
82084,29,1,1
82251,66,1,1
82318,73,2,4
82581,65,1,1
82759,32,1,1
82819,127,1,1
83052,67,1,1
83319,112,1,1
83368,118,1,1
83600,4,3,4
83748,44,1,1
83823,87,1,1
84233,3,2,2
84275,79,1,1
84327,103,1,1
84494,8,1,1
84580,51,1,1
84646,9,1,1
84660,3,1,1
84928,78,1,1
85201,71,1,5
85383,65,2,2
85555,3,1,1
85658,51,2,2
85734,52,13,15
85916,53,1,1
86005,44,1,1
86049,43,1,1
86082,78,1,1
86123,94,1,1
86403,23,1,1
86444,100,1,1
86609,113,1,1
86669,105,1,1
86690,23,1,1
86810,58,1,1
86982,69,1,1
87226,24,1,1
87364,132,1,2
87380,16,1,1
87559,53,1,1
87660,101,1,1
87886,29,1,1
87891,18,1,1
88182,33,1,1
88183,8,1,1
88361,21,1,1
88427,32,1,1
88696,129,1,1
88841,106,1,1
88920,6,1,1
89000,80,1,1
89237,85,1,1
89426,19,1,1
89656,92,1,1
89783,51,1,2
89882,46,1,1
90080,133,1,1
90093,89,1,1
90186,16,1,1
90253,118,1,1
90352,84,1,1
90496,108,1,2
90565,81,1,1
90902,53,1,1
91370,84,1,1
91900,103,1,1
91913,39,1,1
92098,137,1,1
92159,53,1,1
92347,102,1,1
92384,134,1,2
93232,134,1,1
93328,15,1,1
93424,3,1,1
93652,12,1,1
93887,137,1,1
93978,81,1,1
94030,54,1,4
94071,45,1,1
94177,102,1,1
94182,45,1,1
94235,55,1,1
94463,80,1,2
94529,116,1,1
94751,125,1,1
94832,113,1,1
94994,72,1,1
95059,36,1,1
95090,63,1,1
95161,51,1,1
95233,106,1,1
95536,111,1,1
95794,106,1,1
96196,52,1,1
96387,27,1,1
96558,45,1,1
96640,46,1,1
96705,59,1,1
96947,62,1,1
97209,132,1,1
97480,65,1,1
97675,63,1,12
97865,22,1,1
97992,89,1,1
98071,57,1,6
98093,18,1,1
98364,81,1,1
98371,42,1,1
98492,42,1,1
98499,134,1,1
98772,29,1,2
98799,16,1,1
98887,84,1,1
99015,53,1,1
99081,19,1,1
99160,3,1,1
99569,47,1,1
99589,11,1,1
99634,95,1,1
99661,127,1,1
99743,115,1,1
99830,102,1,2
99915,51,1,1
99962,40,1,1
100012,26,1,1
100020,114,1,1
100067,53,1,1
100198,39,1,1
100439,15,1,1
100459,83,1,1
100539,102,1,1
100790,26,1,1
100809,63,1,3
100840,107,1,1
100852,43,1,1
100894,35,1,1
100988,82,1,2
101161,106,1,1
101175,32,6,24
101483,131,1,1
101633,17,1,1
101747,66,1,1
101821,18,1,1
102019,109,1,2
102227,6,1,1
102454,4,1,1
102507,67,1,3
102636,11,1,1
102676,93,1,1
102742,108,1,1
102877,52,1,1
102957,24,1,1
103171,9,1,1
103408,69,1,1
103637,32,1,5
103744,31,1,1
103808,59,1,1
103993,52,2,2
104058,79,2,5
104182,117,1,1
104260,9,1,1
104434,61,1,1
104522,91,1,1
104560,55,1,1
104815,77,1,1
104850,5,1,1
104866,49,1,1
104929,67,1,1
104974,121,1,2
105003,57,1,1
105033,107,1,1
105090,8,1,1
105164,84,1,1
105283,87,1,1
105465,20,1,1
105552,44,1,1
105693,31,1,1
105729,31,1,1
105795,101,1,1
105857,23,1,1
106106,127,1,1
106381,44,1,1
106470,84,1,1
106515,83,1,1
106554,60,1,1
106626,52,1,1
106733,107,1,1
107007,44,1,1
107025,123,1,1
107314,2,1,1
107692,7,1,1
107797,20,1,1
107935,124,1,1
107944,74,1,1
107998,38,1,1
108101,122,1,1
108464,95,1,1
108570,11,1,1
108759,12,1,1
108813,23,1,1
108868,50,1,1
108972,105,1,1
108997,2,1,1
109095,92,1,1
109106,120,1,1
109184,45,1,6
109246,89,1,1
109293,23,1,1
109357,112,2,19
109408,105,1,1
109433,77,1,1
109662,32,1,1
109670,64,1,1
109717,131,2,2
109721,51,1,1
109826,135,1,1
109850,39,1,1
109926,59,1,1
109982,74,1,1
110014,103,1,1
110090,26,1,1
110227,4,1,1
110412,34,1,2
110481,7,1,1
110561,20,1,2
110606,44,1,1
110660,26,1,1
110905,34,1,1
111080,57,1,1
111209,47,1,1
111325,87,1,1
111382,54,1,1
111668,65,1,1
111748,8,1,1
112167,93,1,1
112253,33,1,1
112257,51,1,1
112323,89,1,1
112417,81,1,1
112518,71,1,1
112578,43,1,1
112596,123,1,1
112757,71,2,4
112855,79,1,1
113028,85,1,1
113137,33,2,3
113314,45,1,1
113592,17,1,1
113634,52,1,1
113995,65,1,1
114108,28,1,1
114349,49,1,1
114403,44,1,1
114450,10,1,1
114828,5,1,1
114903,114,1,1
114915,42,1,1
115055,65,1,1
115257,36,1,5
115417,87,1,1
115573,31,1,1
115977,86,1,1
116086,60,2,2
116095,60,1,2
116133,31,1,1
116236,61,1,1
116272,85,1,1
116322,24,1,1
116458,58,1,1
116728,29,1,1
116771,28,1,1
116830,10,1,1
116997,81,1,1
117236,2,1,1
117422,117,2,2
117436,115,1,1
117934,88,1,3
117973,12,1,1
118071,64,1,1
118129,81,1,3
118200,48,1,1
118234,27,1,1
118274,5,1,1
118319,14,1,1
118450,21,1,2
118487,105,1,1
118543,80,1,1
118580,99,2,2
118594,53,1,1
118734,103,1,1
118831,79,1,1
118899,70,1,2
118926,50,1,1
119044,12,1,1
119084,66,1,1
119139,29,1,1
119168,76,1,1
119328,88,1,1
119362,52,1,1
119389,50,1,10
119446,9,1,1
119455,135,1,1
119531,9,1,1
119578,26,1,2
119770,85,1,1
119781,28,1,1
119827,44,2,2
120036,92,1,1
120226,121,2,2
120331,61,1,1
120444,61,1,3
120511,129,1,1
120532,130,1,1
120601,60,1,1
120699,13,1,2
120959,128,1,1
121179,85,1,1
121214,81,1,1
121299,67,2,4
121320,9,1,2
121322,108,1,1
121370,99,1,1
121481,6,1,2
121688,109,1,11
121714,115,1,1
121775,14,1,1
121914,60,2,2
121951,94,1,1
122126,85,1,1
122153,92,1,1
122239,38,1,1
122329,50,1,2
122337,95,1,1
122347,18,1,1
122385,19,1,1
122478,13,1,1
122552,5,1,1
122568,125,1,1
122598,43,1,1
122700,71,1,1
122728,87,1,1
122929,119,1,1
123031,107,1,1
123036,118,1,2
123291,112,1,1
123533,57,1,1
123702,101,1,1
123724,31,1,1
124102,91,1,1
124114,9,1,1
124220,34,1,1
124269,38,1,2
124489,25,1,1
124511,114,1,1
124971,28,1,1
125048,29,1,1
125098,9,1,1
125197,86,1,1
125208,106,1,1
125307,11,1,1
125643,66,1,1
125651,137,1,1
125728,57,1,3
125769,132,2,2
125998,55,1,1
126139,64,1,1
126230,9,1,1
126393,122,1,1
126643,18,1,1
126771,58,1,1
126779,136,2,2
126834,77,1,3
127240,113,2,2
127366,63,1,1
127425,85,1,1
127452,41,1,2
127579,10,1,1
127718,10,1,1
127910,106,1,2
128066,63,1,1
128147,61,1,2
128188,66,1,1
128223,49,1,1
128491,46,1,1
128578,106,1,1
128727,47,1,2
129046,66,1,1
129095,128,1,1
129198,43,1,1
129237,112,1,1
129434,79,1,1
129438,115,1,1
129443,125,1,1
129642,38,1,1
129689,105,1,1
129708,54,2,2
129811,7,1,1
129940,72,1,1
130028,68,1,2
130293,82,2,2
130294,10,1,1
130478,128,1,1
130492,40,1,3
130658,46,1,1
130847,31,1,1
130917,91,1,1
130968,124,1,1
130983,22,1,1
131371,19,1,3
131578,91,1,1
131595,48,1,1
131725,118,1,1
131764,9,1,1
131768,12,1,1
131861,52,1,1
131954,9,1,1
132066,47,1,1
132168,37,1,1
132277,50,2,3
132645,14,1,1
132676,70,1,4
132727,17,2,2
132804,118,1,1
132823,64,1,1
132829,28,1,1
132882,58,1,1
133120,88,1,1
133166,66,1,2
133456,10,1,1
133632,69,1,1
133645,84,1,1
133777,101,1,1
133817,15,1,1
134169,101,1,1
134248,13,1,1
134290,85,1,1
134360,46,1,1
134407,40,2,4
134524,80,1,1
134586,120,1,1
134685,37,1,1
134805,15,1,1
134868,39,1,1
135153,57,1,1
135201,88,1,1
135511,84,1,1
135719,3,4,4
135738,60,1,1
135931,72,1,1
135997,123,1,1
136002,8,1,1
136280,65,1,1
136630,55,1,1
136855,67,1,1
136903,118,1,1
137011,40,1,2
137057,22,1,1
137110,84,1,1
137223,71,1,1
137285,44,2,2
137452,18,1,1
137613,48,1,1
137876,8,2,2
138021,23,1,3
138131,78,137,173
138304,66,1,1
138322,39,1,1
138391,113,1,1
138458,35,1,1
138992,86,1,1
139064,108,1,1
139392,103,1,1
139696,123,2,2
139805,28,1,1
139850,24,1,5
139891,25,1,1
140115,72,1,1
140378,115,1,1
140568,87,1,1
140572,41,1,1
140810,8,1,1
140884,2,1,1
141016,121,1,1
141135,45,1,1
141660,7,1,1
141701,137,1,1
141790,21,1,1
141812,27,1,1
141819,20,1,1
141889,88,1,1
141905,28,1,1
142099,45,1,1
142284,11,1,1
142511,111,1,1
142611,40,1,1
142649,44,1,1
142785,8,2,2
143054,51,1,1
143059,77,1,3
143136,120,1,1
143174,18,1,1
143229,50,1,1
143361,47,1,1
143411,3,1,1
143585,59,1,1
143630,93,1,1
143679,105,1,1
143811,32,1,1
144274,92,2,2
144291,6,1,1
144378,42,1,1
144508,52,1,1
144513,23,1,2
144730,87,1,1
144849,42,3,5
145261,45,1,2
145274,111,1,3
145473,128,1,2
145492,65,1,1
145494,7,1,1
145611,137,1,1
145936,93,1,2
146419,38,1,1
146458,50,1,1
146479,76,1,1
146505,15,1,1
146522,136,1,1
146547,37,1,2
146643,54,3,4
146698,8,4,5
146997,68,1,1
147096,137,1,1
147248,58,1,2
147290,81,1,1
147585,87,1,1
147808,46,1,1
147954,107,1,1
148192,90,1,1
148227,51,1,1
148244,5,1,1
148264,137,1,1
148402,81,1,1
148453,85,1,1
148485,69,1,1
148531,66,1,1
148602,116,1,1
148615,36,1,1
148658,135,1,1
148811,86,1,1
148853,135,1,1
148923,29,1,1
149166,85,1,1
149194,107,1,1
149420,52,1,1
149673,95,1,1
149854,108,1,4
149978,101,1,3
149990,96,1,1
150133,107,1,1
150184,31,1,1
150421,76,1,1
150651,16,2,8
150737,83,1,1
150928,85,1,1
150983,68,1,1
151077,16,1,1
151138,36,1,1
151280,28,1,1
151448,73,1,1
151476,63,1,2
151498,107,1,1
151740,92,1,1
151847,130,1,1
152089,29,1,1
152357,51,1,2
152381,125,1,1
152404,128,1,1
152420,85,1,4
152693,4,2,4
152793,24,1,1
152887,60,1,1
152891,60,1,1
152902,2,1,1
152963,1,278,349
153018,18,1,1
153118,2,1,3
153121,7,1,1
153312,16,1,1
153431,125,1,1
153514,29,1,1
153536,47,1,1
153711,136,1,2
153780,46,2,2
153934,66,1,1
154116,37,1,2
154155,3,1,1
154217,81,2,3
154352,55,1,1
154454,106,1,1
154476,99,1,1
154503,37,1,1
154559,45,1,1
154613,73,1,1
154662,18,1,1
154689,114,1,2
154766,99,1,1
154771,52,1,1
154919,59,1,3
154959,76,1,1
154970,89,3,3
155060,3,1,1
155086,24,1,6
155171,36,1,1
155278,96,1,1
155340,8,1,1
155701,125,1,1
155977,7,1,1
156002,100,1,1
156036,21,1,1
156382,30,1,1
156391,53,1,1
156453,114,1,1
156622,137,1,1
156674,42,1,1
156700,85,1,1
156883,10,1,1
156957,136,1,2
156973,107,1,1
157119,115,1,2
157122,59,1,1
157195,24,1,1
157419,90,3,6
157482,29,1,1
157614,113,1,1
157616,26,1,1
157737,135,1,1
157882,62,1,1
157998,69,1,1
158090,108,1,1
158161,7,1,1
158287,124,1,1
158456,93,1,1
158533,100,1,2
158558,8,2,2
158701,34,4,4
158720,55,1,3
159004,88,1,1
159030,60,1,1
159619,6,1,2
159827,35,1,1
160095,88,1,1
160369,39,1,1
160371,119,1,1
160561,73,1,1
160821,25,1,1
160862,71,1,1
161047,21,1,1
161529,108,1,1
161617,88,1,3
161626,29,1,1
161675,78,1,1
161883,60,1,1
161926,132,1,2
162009,5,1,1
162313,45,1,1
162385,130,2,2
162448,127,1,1
162576,61,1,1
162815,109,1,1
162932,28,1,1
163049,1,3,3
163083,64,2,2
163156,43,2,2
163365,119,1,1
163561,106,81,92
163632,71,2,2
163691,7,1,1
163700,77,1,1
163711,72,1,5
163836,67,1,1
164002,73,1,2
164303,63,1,1
164630,94,1,1
164985,117,1,1
164995,89,1,2
165003,15,1,1
165257,7,1,1
165440,71,1,1
165696,85,1,1
165710,22,1,1
165718,91,1,1
165843,51,1,4
166027,24,1,2
166173,84,1,1
166371,109,1,1
166590,70,2,4
166605,6,1,1
166787,127,1,1
167086,4,1,1
167101,43,1,1
167336,11,1,1
167394,8,1,1
167489,83,2,2
167506,38,1,1
167511,5,1,3
167556,98,1,1
167876,101,1,1
167887,11,1,1
168008,119,1,1
168135,3,1,1
168272,133,1,1
168289,92,1,1
168505,63,1,1
168684,81,1,1
168685,11,3,6
168761,97,1,1
168889,94,1,1
168932,13,1,1
169103,119,1,1
169111,116,1,1
169151,17,2,8
169328,67,1,1
169369,127,2,4
169436,62,1,1
169486,68,1,2
169576,25,1,1
169589,94,1,3
169803,57,1,1
169902,13,1,1
170096,128,1,1
170130,8,1,1
170470,125,3,14
170618,102,1,2
170791,3,1,2
171070,67,1,1
171135,79,1,3
171174,64,1,1
171308,73,1,1
171376,3,1,2
171457,44,1,1
171560,136,1,1
171598,132,1,1
171688,39,1,1
171693,136,1,1
171718,1,2,33
171743,86,1,1
171785,30,1,1
172015,28,1,1
172104,31,1,1
172132,61,1,1
172244,111,1,1
172467,9,1,2
172623,100,1,1
172634,112,1,1
173019,43,1,1
173056,60,1,5
173405,74,1,1
173494,23,1,1
173517,17,1,1
173657,4,1,2
173863,1,28,31
173931,49,2,2
174405,52,1,1
174494,84,1,1
174823,6,1,1
174972,6,6,11
174983,136,1,1
175106,39,1,2
175586,84,1,1
175709,10,1,1
175771,63,1,1
175801,56,12,13
175822,70,1,1
175888,10,1,1
175890,9,1,3
175940,45,1,1
176153,59,1,1
176356,19,1,1
176379,138,1,1
176491,120,1,1
176615,117,1,1
176878,131,1,2
176892,125,1,1
176939,41,1,1
176986,74,1,1
177211,10,2,8
177257,4,1,1
177488,127,1,1
177537,81,1,1
177547,124,1,1
178066,109,1,1
178281,33,1,1
178888,64,1,1
178902,77,1,5
178925,127,1,1
179034,81,1,1
179091,113,1,1
179210,48,1,1
179314,1,1,3
179353,33,1,2
179362,26,1,1
179448,96,1,1
179772,42,1,3
179972,24,1,1
180133,136,1,1
180275,30,1,1
180504,113,1,1
180648,45,1,1
180776,58,1,1
180810,135,1,1
180818,46,1,1
181041,131,1,1
181252,134,1,1
181318,86,1,1
181723,4,1,1
181727,43,1,1
181771,84,1,1
181889,127,1,1
181972,81,1,1
182047,86,1,1
182055,95,1,2
182143,136,1,3
182156,114,1,4
182406,31,1,1
182428,25,1,1
182451,29,1,1
182582,80,1,1
182637,7,1,1
182994,38,1,1
183206,119,1,1
183620,111,1,1
184607,80,1,1
184974,106,1,1
185025,134,1,1
185172,122,1,2
185242,127,1,1
185269,105,1,1
185483,120,1,1
185552,7,1,1
185564,119,1,5
185643,104,1,1
185790,86,2,3
185928,52,2,2
185947,75,1,1
185971,37,1,1
186080,75,1,1
186223,49,1,1
186445,30,1,1
186588,100,1,1
186733,97,1,1
186774,3,1,1
186927,53,3,10
187035,42,1,2
187196,36,1,1
187302,106,1,1
187327,84,1,1
187404,129,1,1
187536,17,1,1
187991,10,1,2
188096,86,1,1
188116,36,1,10
188120,117,1,1
188270,16,1,1
188684,54,1,1
188716,119,1,1
189240,46,2,2
189377,54,1,1
189381,10,1,1
189384,24,1,2
189473,52,1,1
189702,4,1,1
189838,24,1,1
189934,48,1,1
190037,47,1,1
190159,93,1,1
190644,20,1,1
190672,135,3,3
190678,17,1,1
190756,116,1,1
190867,118,1,1
190940,104,1,1
191153,70,1,1
191439,109,1,1
191448,47,1,1
191477,35,1,2
191576,35,1,1
